cod_semana	data_inicio_semana	data_fim_semana
528	09/02/2014	15/02/2014
529	16/02/2014	22/02/2014
530	23/02/2014	01/03/2014
531	02/03/2014	08/03/2014
532	09/03/2014	15/03/2014
533	16/03/2014	22/03/2014
534	23/03/2014	29/03/2014
535	30/03/2014	05/04/2014
536	06/04/2014	12/04/2014
537	13/04/2014	19/04/2014
538	20/04/2014	26/04/2014
539	27/04/2014	03/05/2014
540	04/05/2014	10/05/2014
541	11/05/2014	17/05/2014
542	18/05/2014	24/05/2014
543	25/05/2014	31/05/2014
544	01/06/2014	07/06/2014
545	08/06/2014	14/06/2014
546	15/06/2014	21/06/2014
547	22/06/2014	28/06/2014
548	29/06/2014	05/07/2014
549	06/07/2014	12/07/2014
550	13/07/2014	19/07/2014
551	20/07/2014	26/07/2014
552	27/07/2014	02/08/2014
553	03/08/2014	09/08/2014
554	10/08/2014	16/08/2014
555	17/08/2014	23/08/2014
556	24/08/2014	30/08/2014
557	31/08/2014	06/09/2014
558	07/09/2014	13/09/2014
559	14/09/2014	20/09/2014
560	21/09/2014	27/09/2014
561	28/09/2014	04/10/2014
562	05/10/2014	11/10/2014
563	12/10/2014	18/10/2014
564	19/10/2014	25/10/2014
565	26/10/2014	01/11/2014
566	02/11/2014	08/11/2014
567	09/11/2014	15/11/2014
568	16/11/2014	22/11/2014
569	23/11/2014	29/11/2014
570	30/11/2014	06/12/2014
571	07/12/2014	13/12/2014
572	14/12/2014	20/12/2014
573	21/12/2014	27/12/2014
574	28/12/2014	03/01/2015
575	04/01/2015	10/01/2015
576	11/01/2015	17/01/2015
577	18/01/2015	24/01/2015
578	25/01/2015	31/01/2015
579	01/02/2015	07/02/2015
580	08/02/2015	14/02/2015
581	15/02/2015	21/02/2015
582	22/02/2015	28/02/2015
583	01/03/2015	07/03/2015
584	08/03/2015	14/03/2015
585	15/03/2015	21/03/2015
586	22/03/2015	28/03/2015
587	29/03/2015	04/04/2015
588	05/04/2015	11/04/2015
589	12/04/2015	18/04/2015
590	19/04/2015	25/04/2015
591	26/04/2015	02/05/2015
592	03/05/2015	09/05/2015
593	10/05/2015	16/05/2015
594	17/05/2015	23/05/2015
595	24/05/2015	30/05/2015
596	31/05/2015	06/06/2015
597	07/06/2015	13/06/2015
598	14/06/2015	20/06/2015
599	21/06/2015	27/06/2015
600	28/06/2015	04/07/2015
601	05/07/2015	11/07/2015
602	12/07/2015	18/07/2015
603	19/07/2015	25/07/2015
604	26/07/2015	01/08/2015
605	02/08/2015	08/08/2015
606	09/08/2015	15/08/2015
607	16/08/2015	22/08/2015
608	23/08/2015	29/08/2015
609	30/08/2015	05/09/2015
610	06/09/2015	12/09/2015
611	13/09/2015	19/09/2015
612	20/09/2015	26/09/2015
613	27/09/2015	03/10/2015
614	04/10/2015	10/10/2015
615	11/10/2015	17/10/2015
616	18/10/2015	24/10/2015
617	25/10/2015	31/10/2015
618	01/11/2015	07/11/2015
619	08/11/2015	14/11/2015
620	15/11/2015	21/11/2015
621	22/11/2015	28/11/2015
622	29/11/2015	05/12/2015
623	06/12/2015	12/12/2015
624	13/12/2015	19/12/2015
625	20/12/2015	26/12/2015
626	27/12/2015	02/01/2016
627	03/01/2016	09/01/2016
628	10/01/2016	16/01/2016
629	17/01/2016	23/01/2016
630	24/01/2016	30/01/2016
631	31/01/2016	06/02/2016
632	07/02/2016	13/02/2016
633	14/02/2016	20/02/2016
634	21/02/2016	27/02/2016
635	28/02/2016	05/03/2016
636	06/03/2016	12/03/2016
637	13/03/2016	19/03/2016
638	20/03/2016	26/03/2016
639	27/03/2016	02/04/2016
640	03/04/2016	09/04/2016
641	10/04/2016	16/04/2016
642	17/04/2016	23/04/2016
643	24/04/2016	30/04/2016
